,URL,percent_skin_SkinLikelihood_6,percent_skin_abg,percent_skin_cbcr,percent_skin_cccm,percent_skin_equalized_abg,percent_skin_equalized_cbcr,percent_skin_equalized_cccm,percent_skin_adapt_abg,percent_skin_adapt_cbcr,percent_skin_adapt_cccm,label_number,area_covered_max,area_covered_mode,density_max,density_mode,hwratio_max,hwratio_mode,density_hull_max,density_hull_mode,circularity_max,circularity_mode
0,http://scontent-a.cdninstagram.com/hphotos-xfa1/t51.2885-15/10576064_262502843940251_523348323_n.jpg,0.16197265625,0.26049072265625,0.5607177734375,-1.0,0.38099853515625,0.598876953125,0.38219482421875,0.40859619140625,0.66137451171875,0.2702490234375,4.0,0.055849609375,0.00136474609375,0.9977268753278545,0.6162497576110142,4.189099935711784,1.689471445143003,0.7384412153236459,0.614500228328901,0.9710897289830094,0.8060106032693493
1,http://scontent-a.cdninstagram.com/hphotos-xfa1/t51.2885-15/10575977_271052399767615_896800368_n.jpg,0.1280615234375,0.20377685546875,0.5676318359375,-1.0,0.189833984375,0.38999755859375,0.37281005859375,0.2913525390625,0.71693115234375,0.2742578125,4.0,0.12683837890625,0.0002099609375,0.8404167809158212,0.5813953488372093,2.7536266853265303,1.337091766467908,0.945054945054945,0.5735023016039476,0.9317277920384491,0.6638206231222428
2,http://scontent-b.cdninstagram.com/hphotos-xpa1/t51.2885-15/928636_704202829649887_541257724_n.jpg,0.02710205078125,0.145615234375,0.17244140625,-1.0,0.119912109375,0.2197998046875,0.15538330078125,0.15839111328125,0.2387060546875,0.1500146484375,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
3,http://scontent-b.cdninstagram.com/hphotos-xpa1/t51.2885-15/10513723_667449300003657_211260558_n.jpg,0.1296435546875,0.10818359375,0.0971044921875,-1.0,0.1756494140625,0.2477294921875,0.11604248046875,0.2838037109375,0.40294189453125,0.403076171875,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
4,http://scontent-a.cdninstagram.com/hphotos-xap1/t51.2885-15/10520220_1447171665569442_287562932_n.jpg,0.03594970703125,0.0384716796875,0.08395751953125,-1.0,0.039501953125,0.12802490234375,0.01559814453125,0.14832275390625,0.25553955078125,0.1430126953125,2.0,0.0023291015625,0.0001513671875,0.8387096774193549,0.5922431865828093,2.743820415330268,2.4507597015651346,0.775,0.656121045392022,0.9312208684166136,0.9129655078518225
5,http://scontent-b.cdninstagram.com/hphotos-xpa1/t51.2885-15/10538717_413119388826897_11899544_n.jpg,0.01240966796875,0.0201318359375,0.23572509765625,-1.0,0.0373095703125,0.20197265625,0.43138671875,0.07533447265625,0.3754052734375,0.20881103515625,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
6,http://scontent-a.cdninstagram.com/hphotos-xpa1/t51.2885-15/10488638_368127123334400_926998021_n.jpg,0.03989990234375,0.07268798828125,0.212529296875,-1.0,0.0942041015625,0.2874560546875,0.15802001953125,0.1336962890625,0.30223876953125,0.149873046875,3.0,0.0018212890625,0.0002294921875,0.7559055118110236,0.5106382978723404,1.7683718717658712,1.112252686510728,0.9097560975609756,0.6266666666666667,0.8247538369946444,0.4377920229566613
7,http://scontent-b.cdninstagram.com/hphotos-xpa1/t51.2885-15/10518221_832001020145560_215617438_n.jpg,0.0023876953125,0.00176513671875,0.00401123046875,-1.0,0.1783642578125,0.339814453125,0.3400341796875,0.15781982421875,0.1478857421875,0.30059814453125,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
8,http://scontent-a.cdninstagram.com/hphotos-xpa1/t51.2885-15/10513979_344060012418417_1965524293_n.jpg,0.0438134765625,0.12887451171875,0.19299560546875,-1.0,0.1299951171875,0.26864501953125,0.394794921875,0.29452880859375,0.38978515625,0.29646240234375,5.0,0.0061279296875,0.0001416015625,0.9868421052631579,0.6422310756972112,7.66246051620488,1.54114261760177,0.7886178861788617,0.4561148464473923,0.991447469223459,0.7608999554703518
9,http://scontent-b.cdninstagram.com/hphotos-xpa1/t51.2885-15/10520255_780669968649976_1874690894_n.jpg,0.0833447265625,0.17560546875,0.34484619140625,-1.0,0.19006591796875,0.29447998046875,0.41911376953125,0.2090966796875,0.5140185546875,0.28716064453125,11.0,0.00255615234375,0.00013916015625,0.9565217391304348,0.5465116279069767,2.4288400147383995,1.4744629695558662,0.9347826086956522,0.5491606714628298,0.9113107720947621,0.7348653511271133
